,Compound,Date,Media Outlet,Negative,Neutral,Positive,Tweets Ago
13,0.0,Fri Aug 10 19:59:14 +0000 2018,@CBS,1.0,0.0,0.0,14
14,0.6696,Thu Aug 09 21:00:00 +0000 2018,@CBS,0.745,0.0,0.255,15
15,0.7901,Thu Aug 09 18:47:00 +0000 2018,@CBS,0.72,0.0,0.28,16
16,0.6696,Wed Aug 08 16:05:11 +0000 2018,@CBS,0.791,0.0,0.209,17
17,0.0,Tue Aug 07 16:06:57 +0000 2018,@CBS,1.0,0.0,0.0,18
18,0.3612,Mon Aug 06 00:20:55 +0000 2018,@CBS,0.889,0.0,0.111,19
19,0.5411,Mon Aug 06 00:07:38 +0000 2018,@CBS,0.683,0.098,0.219,20
20,0.0,Mon Aug 27 23:36:57 +0000 2018,@CBS,1.0,0.0,0.0,21
21,-0.4389,Fri Aug 24 20:30:16 +0000 2018,@CBS,0.879,0.121,0.0,22
22,0.0,Wed Aug 22 20:55:25 +0000 2018,@CBS,1.0,0.0,0.0,23
23,0.0,Wed Aug 22 20:10:12 +0000 2018,@CBS,1.0,0.0,0.0,24
24,0.5423,Mon Aug 20 21:59:56 +0000 2018,@CBS,0.829,0.0,0.171,25
25,0.3182,Fri Aug 17 17:42:02 +0000 2018,@CBS,0.887,0.0,0.113,26
26,0.0,Thu Aug 16 18:40:09 +0000 2018,@CBS,1.0,0.0,0.0,27
27,-0.5267,Thu Aug 16 00:09:03 +0000 2018,@CBS,0.72,0.188,0.092,28
28,0.0,Sun Aug 12 23:30:02 +0000 2018,@CBS,1.0,0.0,0.0,29
29,0.4389,Sun Aug 12 15:04:59 +0000 2018,@CBS,0.874,0.0,0.126,30
30,-0.3182,Sat Aug 11 18:00:00 +0000 2018,@CBS,0.897,0.103,0.0,31
31,0.4926,Sat Aug 11 15:00:02 +0000 2018,@CBS,0.856,0.0,0.144,32
32,0.8957,Fri Aug 10 22:28:55 +0000 2018,@CBS,0.581,0.0,0.419,33
33,0.0,Fri Aug 10 19:59:14 +0000 2018,@CBS,1.0,0.0,0.0,34
34,0.6696,Thu Aug 09 21:00:00 +0000 2018,@CBS,0.745,0.0,0.255,35
35,0.7901,Thu Aug 09 18:47:00 +0000 2018,@CBS,0.72,0.0,0.28,36
36,0.6696,Wed Aug 08 16:05:11 +0000 2018,@CBS,0.791,0.0,0.209,37
37,0.0,Tue Aug 07 16:06:57 +0000 2018,@CBS,1.0,0.0,0.0,38
38,0.3612,Mon Aug 06 00:20:55 +0000 2018,@CBS,0.889,0.0,0.111,39
39,0.5411,Mon Aug 06 00:07:38 +0000 2018,@CBS,0.683,0.098,0.219,40
40,0.0,Mon Aug 27 23:36:57 +0000 2018,@CBS,1.0,0.0,0.0,41
41,-0.4389,Fri Aug 24 20:30:16 +0000 2018,@CBS,0.879,0.121,0.0,42
42,0.0,Wed Aug 22 20:55:25 +0000 2018,@CBS,1.0,0.0,0.0,43
43,0.0,Wed Aug 22 20:10:12 +0000 2018,@CBS,1.0,0.0,0.0,44
44,0.5423,Mon Aug 20 21:59:56 +0000 2018,@CBS,0.829,0.0,0.171,45
45,0.3182,Fri Aug 17 17:42:02 +0000 2018,@CBS,0.887,0.0,0.113,46
46,0.0,Thu Aug 16 18:40:09 +0000 2018,@CBS,1.0,0.0,0.0,47
